Congress,Years,Motions Filed,Votes on Cloture,Cloture Invoked
117,2021-2022,44,38,38
116,2019-2020,328,298,270
115,2017-2018,201,168,157
114,2015-2016,128,123,60
113,2013-2014,252,218,187
112,2011-2012,115,73,41
111,2009-2010,137,91,63
110,2007-2008,139,112,61
109,2005-2006,68,54,34
108,2003-2004,62,49,12
107,2001-2002,71,61,34
106,1999-2000,71,58,28
105,1997-1998,69,53,18
104,1995-1996,82,50,9
103,1993-1994,80,46,14
102,1991-1992,60,48,23
101,1989-1990,38,24,11
100,1987-1988,54,43,12
99,1985-1986,41,23,10
98,1983-1984,41,19,11
97,1981-1982,31,27,9
96,1979-1980,30,21,10
95,1977-1978,23,13,3
94,1975-1976,39,27,17
93,1973-1974,44,31,9
92,1971-1972,24,20,4
91,1969-1970,7,6,0
90,1967-1968,6,6,1
89,1965-1966,7,7,1
88,1963-1964,4,3,1
87,1961-1962,4,4,1
86,1959-1960,1,1,0
85,1957-1958,0,0,0
84,1955-1956,0,0,0
83,1953-1954,1,1,0
82,1951-1952,0,0,0
81,1949-1950,2,2,0
80,1947-1948,0,0,0
79,1945-1946,6,4,0
78,1943-1944,1,1,0
77,1941-1942,1,1,0
76,1939-1940,0,0,0
75,1937-1938,2,2,0
74,1935-1936,0,0,0
73,1933-1934,0,0,0
72,1931-1932,2,1,0
71,1929-1930,1,0,0
70,1927-1928,1,0,0
69,1925-1926,7,7,3
68,1923-1924,0,0,0
67,1921-1922,1,1,0
66,1919-1920,2,2,1
65,1917-1918,2,0,0